Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longtitude,altitude,utm_easting,utm_northing,zone,letter
1695862839.9619482,342,152322,0,GPS1_Frame,42.33726183333333,71.08642883333333,42.4,671881.2435943201,4689331.334448093,42,T
1695862847.9729643,343,152323,0,GPS1_Frame,42.33726133333333,71.08642433333333,42.7,671880.8742284526,4689331.269830657,42,T
1695862855.9847422,344,152324,0,GPS1_Frame,42.33726216666667,71.0864205,43.1,671880.5561525386,4689331.354617316,42,T
1695862863.996297,345,152325,0,GPS1_Frame,42.33726266666666,71.08641333333334,43.4,671879.9643713777,4689331.3956519365,42,T
1695862872.0053751,346,152326,0,GPS1_Frame,42.337265499999994,71.086416,43.4,671880.1763425902,4689331.715662308,42,T
1695862880.0152736,347,152327,0,GPS1_Frame,42.33726750000001,71.0864155,43.7,671880.1297014946,4689331.936736347,42,T
1695862888.0248008,348,152328,0,GPS1_Frame,42.33726933333334,71.086414,43.9,671880.0011304693,4689332.137281944,42,T
1695862896.0354042,349,152329,0,GPS1_Frame,42.33727166666666,71.08641633333333,44.1,671880.1870025856,4689332.401097341,42,T
1695862904.0462334,350,152330,0,GPS1_Frame,42.33727566666666,71.08641816666666,44.5,671880.3271417734,4689332.84897266,42,T
1695862912.0557013,351,152331,0,GPS1_Frame,42.3372775,71.08642033333334,45.5,671880.500645465,4689333.056929987,42,T
1695862920.0655265,352,152332,0,GPS1_Frame,42.337279833333334,71.086428,46.4,671881.1258989151,4689333.331526138,42,T
1695862928.0772626,353,152333,0,GPS1_Frame,42.3372805,71.08642833333333,47.1,671881.151543878,4689333.406228177,42,T
1695862936.0868168,354,152334,0,GPS1_Frame,42.33728066666666,71.08643083333332,47.7,671881.3570498028,4689333.429788719,42,T
1695862944.0974195,355,152335,0,GPS1_Frame,42.33728066666666,71.08643266666667,48.4,671881.5080871505,4689333.433494609,42,T
1695862952.106394,356,152336,0,GPS1_Frame,42.33727933333333,71.08643233333333,49.1,671881.4842585674,4689333.284764328,42,T
1695862960.1169128,357,152337,0,GPS1_Frame,42.337278500000004,71.08643366666666,49.8,671881.5963743842,4689333.1949242195,42,T
1695862968.1268644,358,152338,0,GPS1_Frame,42.33727733333333,71.086434,50.5,671881.627014383,4689333.066048595,42,T
1695862976.1362784,359,152339,0,GPS1_Frame,42.33727733333333,71.08643616666667,51.1,671881.8055130753,4689333.070428291,42,T
1695862984.147161,360,152340,0,GPS1_Frame,42.33727616666667,71.08643383333333,51.3,671881.616462373,4689332.936162271,42,T
1695862992.1543887,361,152341,0,GPS1_Frame,42.337273999999994,71.0864305,51.6,671881.347752214,4689332.688832498,42,T
1695863000.1636198,362,152342,0,GPS1_Frame,42.3372715,71.08642783333333,51.9,671881.1348728979,4689332.4058362115,42,T
1695863008.174401,363,152343,0,GPS1_Frame,42.337269166666665,71.08642466666667,52.1,671880.8803474634,4689332.140336298,42,T
1695863016.1863008,364,152344,0,GPS1_Frame,42.33726733333333,71.08642283333333,52.2,671880.7343050988,4689331.933052756,42,T
1695863024.1962354,365,152345,0,GPS1_Frame,42.337265166666675,71.08642,52.2,671880.5067868822,4689331.686733714,42,T
1695863032.2052069,366,152346,0,GPS1_Frame,42.33726333333334,71.08641833333333,52.2,671880.3744751677,4689331.479787078,42,T
1695863040.2145336,367,152347,0,GPS1_Frame,42.337261500000004,71.08641616666667,52.3,671880.2009714298,4689331.271829753,42,T
1695863048.2257466,368,152348,0,GPS1_Frame,42.337261500000004,71.0864155,52.1,671880.1460487428,4689331.270482167,42,T
1695863056.2367094,369,152349,0,GPS1_Frame,42.337261166666664,71.08641516666667,52.1,671880.1194955795,4689331.232794252,42,T
1695863064.2460887,370,152350,0,GPS1_Frame,42.337261500000004,71.08641533333333,52.0,671880.1323180711,4689331.270145271,42,T
1695863072.2556522,371,152351,0,GPS1_Frame,42.33726183333333,71.08641933333334,52.6,671880.4609460194,4689331.315244914,42,T
1695863080.2631967,372,152352,0,GPS1_Frame,42.337261000000005,71.08642233333333,53.5,671880.7103685723,4689331.228773764,42,T
