Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longtitude,altitude,utm_easting,utm_northing,zone,letter
1695870661.828027,34,152936,0,GPS1_Frame,42.33738633333334,71.08595883333334,72.5,671842.1839684001,4689344.209274993,42,T
1695870669.8380942,35,152937,0,GPS1_Frame,42.33739633333333,71.08594466666666,71.4,671840.9896242946,4689345.291068771,42,T
1695870677.845309,36,152938,0,GPS1_Frame,42.337402999999995,71.08593166666667,71.5,671839.9004747567,4689346.005079266,42,T
1695870685.8568656,37,152939,0,GPS1_Frame,42.33741066666666,71.08591483333333,71.8,671838.4927968448,4689346.822385517,42,T
1695870693.8656065,38,152940,0,GPS1_Frame,42.337408833333335,71.08589566666666,72.4,671836.9187671039,4689346.580074225,42,T
1695870701.8764367,39,152941,0,GPS1_Frame,42.33741383333333,71.08588283333333,72.2,671835.8478885991,4689347.109351542,42,T
1695870709.8877714,40,152942,0,GPS1_Frame,42.33742216666666,71.085871,71.6,671834.8503146244,4689348.010791077,42,T
1695870717.897893,41,152943,0,GPS1_Frame,42.33742983333333,71.08586116666667,71.1,671834.019324406,4689348.84224419,42,T
1695870725.908806,42,152944,0,GPS1_Frame,42.33743466666667,71.08585,70.7,671833.0862067793,4689349.356382926,42,T
1695870733.9180865,43,152945,0,GPS1_Frame,42.337441000000005,71.08583583333333,70.6,671831.9018522147,4689350.031022872,42,T
1695870741.930791,44,152946,0,GPS1_Frame,42.337452500000005,71.08582016666666,71.1,671830.5798493777,4689351.276350671,42,T
1695870749.942656,45,152947,0,GPS1_Frame,42.337458500000004,71.08580416666668,71.4,671829.2453663911,4689351.910272125,42,T
1695870757.9522963,46,152948,0,GPS1_Frame,42.33746299999999,71.085787,71.9,671827.818854857,4689352.3752727145,42,T
1695870765.9633894,47,152949,0,GPS1_Frame,42.3374635,71.08576516666668,72.2,671826.0187807886,4689352.386673967,42,T
1695870773.9734058,48,152950,0,GPS1_Frame,42.33747116666667,71.085751,71.4,671824.8307958764,4689353.209371555,42,T
1695870781.9838457,49,152951,0,GPS1_Frame,42.33747766666667,71.08573750000001,71.0,671823.7009113585,4689353.903867062,42,T
1695870789.994429,50,152952,0,GPS1_Frame,42.337486166666665,71.08572550000001,70.4,671822.6891553707,4689354.823478537,42,T
1695870798.0060415,51,152953,0,GPS1_Frame,42.337499333333334,71.085711,70.0,671821.4587300486,4689356.256236097,42,T
1695870806.0176508,52,152954,0,GPS1_Frame,42.33750433333333,71.08569866666667,69.5,671820.4290461096,4689356.786526047,42,T
1695870814.0273042,53,152955,0,GPS1_Frame,42.33750716666667,71.08568100000001,69.5,671818.9658836962,4689357.065447452,42,T
1695870822.0388129,54,152956,0,GPS1_Frame,42.33750816666667,71.08566966666667,69.2,671818.0294780978,4689357.15358897,42,T
1695870830.049631,55,152957,0,GPS1_Frame,42.33751233333334,71.08565733333333,68.6,671817.0020642097,4689357.591344113,42,T
1695870838.0613124,56,152958,0,GPS1_Frame,42.33751416666667,71.0856435,68.0,671815.8574298507,4689357.76696961,42,T
1695870846.073883,57,152959,0,GPS1_Frame,42.33751316666667,71.08563266666667,67.4,671814.9676633187,4689357.634037126,42,T
1695870854.0825253,58,153000,0,GPS1_Frame,42.33752233333333,71.08561783333333,66.9,671813.7206729169,4689358.621953,42,T
1695870862.0924826,59,153001,0,GPS1_Frame,42.33753033333334,71.08560283333333,66.6,671812.4631296631,4689359.479982901,42,T
1695870870.104601,60,153002,0,GPS1_Frame,42.33753983333333,71.08558966666666,65.8,671811.3525382292,4689360.508280956,42,T
1695870878.1147552,61,153003,0,GPS1_Frame,42.33755916666667,71.08558266666667,64.4,671810.72319887,4689362.640955927,42,T
1695870886.1249712,62,153004,0,GPS1_Frame,42.33757683333333,71.08557449999999,63.0,671810.0022847287,4689364.586203016,42,T
1695870894.1362453,63,153005,0,GPS1_Frame,42.337588999999994,71.08556983333332,61.7,671809.5846925114,4689365.927789135,42,T
1695870902.14524,64,153006,0,GPS1_Frame,42.33760399999999,71.0855595,60.4,671808.692543715,4689367.572545501,42,T
1695870910.1562967,65,153007,0,GPS1_Frame,42.33761466666667,71.08554983333333,59.2,671807.8671192056,4689368.737465428,42,T
1695870918.168274,66,153008,0,GPS1_Frame,42.3376175,71.0855365,59.6,671806.7609553267,4689369.025144987,42,T
1695870926.1778111,67,153009,0,GPS1_Frame,42.337615166666666,71.08550916666667,61.4,671804.5154924912,4689368.710818715,42,T
1695870934.1889212,68,153010,0,GPS1_Frame,42.33761500000001,71.08547983333332,63.8,671802.0993617943,4689368.633044004,42,T
1695870942.2011127,69,153011,0,GPS1_Frame,42.33760583333333,71.08544533333334,66.7,671799.2820922894,4689367.545449912,42,T
1695870950.2093432,70,153012,0,GPS1_Frame,42.33761833333333,71.08543233333333,66.9,671798.1770648551,4689368.907213799,42,T
1695870958.2211185,71,153013,0,GPS1_Frame,42.33763316666667,71.08542033333333,66.9,671797.1480671081,4689370.530097114,42,T
1695870966.2316337,72,153014,0,GPS1_Frame,42.33765183333333,71.08540816666667,67.6,671796.0949001214,4689372.578306225,42,T
1695870974.2419963,73,153015,0,GPS1_Frame,42.337658499999996,71.08539716666668,67.4,671795.1705265628,4689373.296364253,42,T
1695870982.2528312,74,153016,0,GPS1_Frame,42.33767216666667,71.08539283333333,65.0,671794.7763139425,4689374.805188185,42,T
1695870990.2636535,75,153017,0,GPS1_Frame,42.337681499999995,71.08539049999999,63.9,671794.5586690485,4689375.836869332,42,T
